rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/total_timesteps,time/iterations,time/time_elapsed,train/explained_variance,train/approx_kl,train/clip_fraction,train/entropy_loss,train/clip_range,train/value_loss,train/learning_rate,train/n_updates,train/loss,train/policy_gradient_loss
14.88,177.65026703999996,3,27904,109,9273,0.5476359,0.0059790923,0.058984375,-1.2647243738174438,0.2,1099.1721519470216,0.0003,1080,550.5642700195312,-0.005424786498770118
14.75,178.43502308000004,3,28160,110,9355,0.57533735,0.013709865,0.06015625,-1.235777422785759,0.2,944.4263935089111,0.0003,1090,286.02032470703125,-0.00431632213294506
14.87,178.84620230000002,3,28416,111,9438,0.5581895,0.0036898074,0.023046875,-1.2254572957754135,0.2,1014.2977767944336,0.0003,1100,695.8245849609375,-0.0019120831508189439
14.87,179.40591833,3,28672,112,9519,0.52783024,0.010560276,0.049609375,-1.2677505284547805,0.2,942.6806663513183,0.0003,1110,471.8744201660156,-0.003080411767587066
14.76,179.13498735999997,3,28928,113,9602,0.5679125,0.0044117556,0.00078125,-1.2434306532144546,0.2,988.1224182128906,0.0003,1120,408.10089111328125,-0.002682372881099582
14.76,178.94992341,3,29184,114,9684,0.5833522,0.00564673,0.01015625,-1.2480847388505936,0.2,921.691121673584,0.0003,1130,528.220458984375,-0.0042135185096412895
14.76,179.07644516999997,3,29440,115,9767,0.58358705,0.016100701,0.10546875,-1.274050346016884,0.2,947.6308555603027,0.0003,1140,500.6567077636719,-0.008167865453287959
14.86,178.87577268,3,29696,116,9853,0.5822426,0.010404208,0.02421875,-1.200007712841034,0.2,918.751501083374,0.0003,1150,506.7196960449219,-0.0021526849828660487
14.86,178.8200851,3,29952,117,9939,0.5591699,0.005870278,0.025,-1.1600210666656494,0.2,883.9601974487305,0.0003,1160,282.3473815917969,-0.003887289809063077
14.86,178.59639430000004,3,30208,118,10021,0.59852993,0.012504826,0.049609375,-1.1974269777536393,0.2,835.4814601898194,0.0003,1170,387.9832458496094,-0.005848177708685398
